"","Number_of_mu_Land_Cultivated_lastyear","Total_Income_From_Crops_lastyear","Value_of_Crops_Consumed_lastyear","Yuan_Spent_Raising_Crops_lastyear","Year","HHid","Province","UR","Total_Value_From_Crops_lastyear","CI","time","ratio","logmu","logratio","Y"
"3105",4,6000,3000,800,11,421103016,"Hubei","Urban",9000,"Inland",5,199.501246882793,1.41098697371026,5.29632161076563,9.10499096736774
"3106",3,3000,2000,1000,0,421103017,"Hubei","Urban",5000,"Inland",1,332.225913621262,1.1314021114911,5.80611615492994,8.51721319121624
"3107",3,3500,1500,600,2,421103017,"Hubei","Urban",5000,"Inland",2,199.335548172757,1.1314021114911,5.29549111732938,8.51721319121624
"3108",3,2000,2000,1400,5,421103017,"Hubei","Urban",4000,"Inland",3,465.116279069767,1.1314021114911,6.14250241373338,8.29407463978953
"3109",3,1300,4000,1500,7,421103017,"Hubei","Urban",5300,"Inland",4,498.338870431894,1.1314021114911,6.21148095486532,8.57548096728674
"3110",3,2000,810,220,0,421103018,"Hubei","Urban",2810,"Inland",1,73.0897009966777,1.1314021114911,4.29305471430185,7.94097534888319
"3111",3,4000,1900,450,2,421103018,"Hubei","Urban",5900,"Inland",2,149.501661129568,1.1314021114911,5.007976169286,8.68272457890272
"3112",3,2000,2000,1100,5,421103018,"Hubei","Urban",4000,"Inland",3,365.448504983389,1.1314021114911,5.90139897895771,8.29407463978953
"3113",3,4000,3000,500,7,421103018,"Hubei","Urban",7000,"Inland",4,166.112956810631,1.1314021114911,5.1132698385321,8.8536797136497
"3114",2,4000,2000,1000,11,421103018,"Hubei","Urban",6000,"Inland",5,497.512437810945,0.741937344729377,6.20982153671336,8.69953141473797
"3115",10,7000,1500,1000,0,421103019,"Hubei","Urban",8500,"Inland",1,99.9000999000999,2.31253542384721,4.60517118498859,9.04783320711509
"3116",7,3000,6000,2000,2,421103019,"Hubei","Urban",9000,"Inland",2,285.306704707561,1.96009478404727,5.65391519708481,9.10499096736774
"3117",1,0,1600,400,7,421103019,"Hubei","Urban",1600,"Inland",4,396.039603960396,0.0953101798043249,5.98176668438205,7.37782140627483
"3118",1,300,160,80,0,421103020,"Hubei","Urban",460,"Inland",1,79.2079207920792,0.0953101798043249,4.37333800753772,6.13144385716142
"3119",1,700,700,300,2,421103020,"Hubei","Urban",1400,"Inland",2,297.029702970297,0.0953101798043249,5.69416875381019,7.24429894162388
"3120",1,0,2000,700,11,421103020,"Hubei","Urban",2000,"Inland",5,693.069306930693,0.0953101798043249,6.54127427949634,7.60095245829212
"3121",3,3000,1000,200,0,421103041,"Hubei","Urban",4000,"Inland",1,66.4451827242525,1.1314021114911,4.19788115640976,8.29407463978953
"3122",2,3000,1000,1500,5,421103041,"Hubei","Urban",4000,"Inland",3,746.268656716418,0.741937344729377,6.61521965604212,8.29407463978953
"3123",1.2,0,2000,320,11,421103041,"Hubei","Urban",2000,"Inland",5,264.462809917355,0.262364264467491,5.57807868971388,7.60095245829212
"3124",3,1400,600,230,0,421103042,"Hubei","Urban",2000,"Inland",1,76.4119601328904,1.1314021114911,4.33744707021882,7.60095245829212
"3125",3,2000,2000,1000,2,421103042,"Hubei","Urban",4000,"Inland",2,332.225913621262,1.1314021114911,5.80611615492994,8.29407463978953
"3126",2,2000,1500,800,5,421103042,"Hubei","Urban",3500,"Inland",3,398.009950248756,0.741937344729377,5.98672822403895,8.16054681849792
"3127",1,1000,1000,600,7,421103042,"Hubei","Urban",2000,"Inland",4,594.059405940594,0.0953101798043249,6.38714764352985,7.60095245829212
"3128",1,0,3000,300,11,421103042,"Hubei","Urban",3000,"Inland",5,297.029702970297,0.0953101798043249,5.69416875381019,8.00640090042804
"3129",4,0,0,0,0,422102005,"Hubei","Rural",0,"Inland",1,0,1.41098697371026,-2.30258509299405,-2.30258509299405
"3130",10,30000,2300,9300,5,422102005,"Hubei","Rural",32300,"Inland",3,929.070929070929,2.31253542384721,6.83429271443065,10.3828256051812
"3131",9,5000,1100,1600,7,422102005,"Hubei","Rural",6100,"Inland",4,177.580466148724,2.2082744135228,5.17998680311224,8.71606044346965
"3132",13,16000,1500,7000,0,422104001,"Hubei","Rural",17500,"Inland",1,538.0476556495,2.57261223020711,6.28813297538659,9.76996187418099
"3133",13,11000,11000,8000,2,422104001,"Hubei","Rural",22000,"Inland",2,614.911606456572,2.57261223020711,6.42164113991555,9.99880227778467
"3134",13,15000,1800,8000,5,422104001,"Hubei","Rural",16800,"Inland",3,614.911606456572,2.57261223020711,6.42164113991555,9.72914011775459
"3135",7,8800,2000,200,7,422104001,"Hubei","Rural",10800,"Inland",4,28.5306704707561,1.96009478404727,3.35447853730442,9.2873106723287
"3136",4,2000,1000,1000,0,422104004,"Hubei","Rural",3000,"Inland",1,249.376558603491,1.41098697371026,5.51936495728465,8.00640090042804
"3137",1,1000,350,500,2,422104004,"Hubei","Rural",1350,"Inland",2,495.049504950495,0.0953101798043249,6.20485974716977,7.2079339427632
"3138",3,6000,2000,3000,7,422104004,"Hubei","Rural",8000,"Inland",4,996.677740863787,1.1314021114911,6.90452781718974,8.98720932058385
"3139",12,20000,3000,5000,0,422104005,"Hubei","Rural",23000,"Inland",1,416.319733555371,2.4932054526027,6.03169372648094,10.0432538427279
"3140",13,6000,6000,4000,2,422104005,"Hubei","Rural",12000,"Inland",2,307.455803228286,2.57261223020711,5.7286565446953,9.39267026206875
"3141",20,30000,1000,1500,5,422104005,"Hubei","Rural",31000,"Inland",3,74.9625187406297,3.00071981506503,4.31832134950718,10.3417457092685
"3142",16,32000,2000,9800,7,422104005,"Hubei","Rural",34000,"Inland",4,612.11742660837,2.77881927199042,6.41708749165399,10.4341187447704
"3143",18,20000,900,5000,11,422104005,"Hubei","Rural",20900,"Inland",5,277.623542476402,2.89591193827178,5.62662616737193,9.94750922263045
"3144",17,12000,2400,0,0,422104006,"Hubei","Rural",14400,"Inland",1,0,2.83907846350861,-2.30258509299405,9.57499042998442
"3145",15,20000,1200,7100,2,422104006,"Hubei","Rural",21200,"Inland",2,473.017988007995,2.71469474382088,6.15934480349112,9.96176117763011
"3146",20,20000,2000,7000,5,422104006,"Hubei","Rural",22000,"Inland",3,349.825087456272,3.00071981506503,5.8577190957353,9.99880227778467
"3147",18,36000,2000,9900,7,422104006,"Hubei","Rural",38000,"Inland",4,549.694614103276,2.89591193827178,6.30954477958145,10.545344070284
"3148",20,30000,2000,10000,11,422104006,"Hubei","Rural",32000,"Inland",5,499.750124937531,3.00071981506503,6.21430830336321,10.373494306777
"3149",5,6000,2000,2000,0,422104011,"Hubei","Rural",8000,"Inland",1,399.201596806387,1.62924053973028,5.98971701307542,8.98720932058385
"3150",8,7000,7000,5000,2,422104011,"Hubei","Rural",14000,"Inland",2,624.219725343321,2.09186406167839,6.43666261750532,9.54681975142903
"3151",8,7000,2000,2000,5,422104011,"Hubei","Rural",9000,"Inland",3,249.687890137328,2.09186406167839,5.5206121182831,9.10499096736774
"3152",10,20000,1500,6000,7,422104011,"Hubei","Rural",21500,"Inland",4,599.400599400599,2.31253542384721,6.39609697430126,9.97581286526773
"3153",9,20000,900,2000,11,422104011,"Hubei","Rural",20900,"Inland",5,221.975582685905,2.2082744135228,5.40301778647718,9.94750922263045
"3154",8,9000,3500,3000,0,422104014,"Hubei","Rural",12500,"Inland",1,374.531835205993,2.09186406167839,5.92594377093182,9.43349192325839
"3155",10,8000,8000,6000,2,422104014,"Hubei","Rural",16000,"Inland",2,599.400599400599,2.31253542384721,6.39609697430126,9.68035025120239
"3156",11,15000,5000,4000,5,422104014,"Hubei","Rural",20000,"Inland",3,363.30608537693,2.40694510831829,5.89552090149311,9.90349255252363
"3157",6,8000,2500,2000,7,422104014,"Hubei","Rural",10500,"Inland",4,332.778702163062,1.80828877117927,5.80777816585388,9.25914005990979
"3158",14,8000,8000,5000,2,422104017,"Hubei","Rural",16000,"Inland",2,356.887937187723,2.64617479738412,5.87770199181863,9.68035025120239
"3159",18,25000,2000,7000,5,422104017,"Hubei","Rural",27000,"Inland",3,388.672959466963,2.89591193827178,5.96299552147158,10.2035958486833
"3160",20,40000,2200,9999,7,422104017,"Hubei","Rural",42200,"Inland",4,499.700149925037,3.00071981506503,6.21420831837087,10.6501778696895
"3161",50,1e+05,2000,15000,11,422104017,"Hubei","Rural",102000,"Inland",5,299.9400119976,3.91402100809082,5.70391583908811,11.5327290726581
"3162",10,8000,1000,3000,0,422104019,"Hubei","Rural",9000,"Inland",1,299.7002997003,2.31253542384721,5.70311658533544,9.10499096736774
"3163",18,18000,1000,8000,2,422104019,"Hubei","Rural",19000,"Inland",2,444.197667962243,2.89591193827178,6.09649476113728,9.85219952129262
"3164",10,10000,3000,5000,5,422104019,"Hubei","Rural",13000,"Inland",3,499.5004995005,2.31253542384721,6.21380877805176,9.47271232872178
"3165",16,32000,2000,9900,7,422104019,"Hubei","Rural",34000,"Inland",4,618.363522798251,2.77881927199042,6.42723821321096,10.4341187447704
"3166",15,30000,900,5000,11,422104019,"Hubei","Rural",30900,"Inland",5,333.11125916056,2.71469474382088,5.80877670071986,10.3385146991266
"3167",10,12000,6000,5000,0,422104020,"Hubei","Rural",18000,"Inland",1,499.5004995005,2.31253542384721,6.21380877805176,9.79813259241842
"3168",7,7000,7000,5000,2,422104020,"Hubei","Rural",14000,"Inland",2,713.266761768902,1.96009478404727,6.56999568054264,9.54681975142903
"3169",7,7000,5000,2200,5,422104020,"Hubei","Rural",12000,"Inland",3,313.837375178317,1.96009478404727,5.74919352390976,9.39267026206875
"3170",6,7200,2500,2800,7,422104020,"Hubei","Rural",9700,"Inland",4,465.890183028286,1.80828877117927,6.14416456744084,9.17989147371669
"3171",8,10000,2000,1700,11,422104020,"Hubei","Rural",12000,"Inland",5,212.234706616729,2.09186406167839,5.35816383446585,9.39267026206875
"3172",8,6000,6000,4500,2,422104061,"Hubei","Rural",12000,"Inland",2,561.797752808989,2.09186406167839,6.33131989883802,9.39267026206875
"3173",12,24000,1000,6000,5,422104061,"Hubei","Rural",25000,"Inland",3,499.583680266445,2.4932054526027,6.21397525875429,10.1266351038423
"3174",8,15000,1500,8000,7,422104061,"Hubei","Rural",16500,"Inland",4,998.751560549313,2.09186406167839,6.90660617956953,9.71112172047637
"3175",2,1700,800,500,0,422104081,"Hubei","Rural",2500,"Inland",1,248.756218905473,0.741937344729377,5.51687529557086,7.82408601005631
"3176",2,1000,1000,400,2,422104081,"Hubei","Rural",2000,"Inland",2,199.004975124378,0.741937344729377,5.29383219882615,7.60095245829212
"3177",12,18000,1600,9999,5,422104081,"Hubei","Rural",19600,"Inland",3,832.55620316403,2.4932054526027,6.72462083568229,9.88328994724641
"3178",3,1800,1800,300,2,422202004,"Hubei","Rural",3600,"Inland",2,99.6677740863787,1.1314021114911,4.60284522622629,8.18871690183618
"3179",45,86000,2000,5000,5,422202004,"Hubei","Rural",88000,"Inland",3,111.086425238836,3.80888224650863,4.71120829917437,11.3850932298233
"3180",2,2000,2400,1800,7,422202004,"Hubei","Rural",4400,"Inland",4,895.522388059702,0.741937344729377,6.79751888224568,8.38938254692082
"3181",3,6000,2500,2000,11,422202004,"Hubei","Rural",8500,"Inland",5,664.451827242525,1.1314021114911,6.49911286945731,9.04783320711509
"3182",3,3000,2000,300,2,422202005,"Hubei","Rural",5000,"Inland",2,99.6677740863787,1.1314021114911,4.60284522622629,8.51721319121624
"3183",3,1000,5000,1000,5,422202005,"Hubei","Rural",6000,"Inland",3,332.225913621262,1.1314021114911,5.80611615492994,8.69953141473797
"3184",3,1500,1000,450,7,422202005,"Hubei","Rural",2500,"Inland",4,149.501661129568,1.1314021114911,5.007976169286,7.82408601005631
"3185",4,5000,1000,1000,11,422202005,"Hubei","Rural",6000,"Inland",5,249.376558603491,1.41098697371026,5.51936495728465,8.69953141473797
"3186",3,2000,2000,1000,2,422202006,"Hubei","Rural",4000,"Inland",2,332.225913621262,1.1314021114911,5.80611615492994,8.29407463978953
"3187",2,1500,1400,1500,5,422202006,"Hubei","Rural",2900,"Inland",3,746.268656716418,0.741937344729377,6.61521965604212,7.97250049813867
"3188",2,1500,2000,600,7,422202006,"Hubei","Rural",3500,"Inland",4,298.507462686567,0.741937344729377,5.69912987704519,8.16054681849792
"3189",2,4000,1000,1000,11,422202006,"Hubei","Rural",5000,"Inland",5,497.512437810945,0.741937344729377,6.20982153671336,8.51721319121624
"3190",2,2000,2000,300,2,422202007,"Hubei","Rural",4000,"Inland",2,149.253731343284,0.741937344729377,5.00631752823542,8.29407463978953
"3191",2,3000,1800,800,5,422202007,"Hubei","Rural",4800,"Inland",3,398.009950248756,0.741937344729377,5.98672822403895,8.4763920300123
"3192",3,3200,1400,3000,7,422202007,"Hubei","Rural",4600,"Inland",4,996.677740863787,1.1314021114911,6.90452781718974,8.43383332137133
"3193",9,15000,600,300,0,422202008,"Hubei","Rural",15600,"Inland",1,33.2963374028857,2.2082744135228,3.50844623537347,9.65503260347349
"3194",9,12000,2500,1400,2,422202008,"Hubei","Rural",14500,"Inland",2,155.382907880133,2.2082744135228,5.04653580840839,9.58191082493661
"3195",6,8000,1500,2500,5,422202008,"Hubei","Rural",9500,"Inland",3,415.973377703827,1.80828877117927,6.03086163341773,9.15905760384902
"3196",9,13000,3000,6300,7,422202008,"Hubei","Rural",16000,"Inland",4,699.223085460599,2.2082744135228,6.5501128464066,9.68035025120239
"3197",8,15000,1200,4000,11,422202008,"Hubei","Rural",16200,"Inland",5,499.375780274657,2.09186406167839,6.2135591089744,9.69277269404093
"3198",2,1500,1100,800,5,422202010,"Hubei","Rural",2600,"Inland",3,398.009950248756,0.741937344729377,5.98672822403895,7.86330518480841
"3199",3,3000,1600,1200,7,422202010,"Hubei","Rural",4600,"Inland",4,398.671096345515,1.1314021114911,5.98838755889522,8.43383332137133
"3200",2.5,2000,2300,1000,11,422202010,"Hubei","Rural",4300,"Inland",5,398.406374501992,0.955511445027436,5.98772349434322,8.36639355722519
"3201",5,4000,1500,500,0,422202011,"Hubei","Rural",5500,"Inland",1,99.8003992015968,1.62924053973028,4.6041736816585,8.61252155287346
"3202",5,4500,2000,1000,2,422202011,"Hubei","Rural",6500,"Inland",2,199.600798403194,1.62924053973028,5.29682023842676,8.77957284038077
"3203",5,12000,2000,600,5,422202011,"Hubei","Rural",14000,"Inland",3,119.760479041916,1.62924053973028,4.78632839170081,9.54681975142903
"3204",5,8000,1000,1000,7,422202011,"Hubei","Rural",9000,"Inland",4,199.600798403194,1.62924053973028,5.29682023842676,9.10499096736774
"3205",8,15000,1200,700,11,422202011,"Hubei","Rural",16200,"Inland",5,87.3907615480649,2.09186406167839,4.47153320548153,9.69277269404093
"3206",4,12000,3000,900,5,422202016,"Hubei","Rural",15000,"Inland",3,224.438902743142,1.41098697371026,5.41404897833099,9.61581214672879
"3207",2,3000,2000,800,7,422202016,"Hubei","Rural",5000,"Inland",4,398.009950248756,0.741937344729377,5.98672822403895,8.51721319121624
"3208",1.5,900,2000,900,11,422202016,"Hubei","Rural",2900,"Inland",5,596.026490066225,0.470003629245736,6.39045287620214,7.97250049813867
"3209",3,3000,1500,1000,5,422202017,"Hubei","Rural",4500,"Inland",3,332.225913621262,1.1314021114911,5.80611615492994,8.41185489773372
"3210",3,3500,1000,800,7,422202017,"Hubei","Rural",4500,"Inland",4,265.78073089701,1.1314021114911,5.58304782814286,8.41185489773372
"3211",3,3400,6000,2000,11,422202017,"Hubei","Rural",9400,"Inland",5,664.451827242525,1.1314021114911,6.49911286945731,9.14847560649938
"3212",1,2000,2360,800,5,422202018,"Hubei","Rural",4360,"Inland",3,792.079207920792,0.0953101798043249,6.6747876388459,8.38025027185988
"3213",1,2500,500,1000,7,422202018,"Hubei","Rural",3000,"Inland",4,990.09900990099,0.0953101798043249,6.89790594302881,8.00640090042804
"3214",1,200,1200,800,11,422202018,"Hubei","Rural",1400,"Inland",5,792.079207920792,0.0953101798043249,6.6747876388459,7.24429894162388
"3215",5,5000,2000,600,2,422202020,"Hubei","Rural",7000,"Inland",2,119.760479041916,1.62924053973028,4.78632839170081,8.8536797136497
"3216",4,6000,700,1900,5,422202020,"Hubei","Rural",6700,"Inland",3,473.815461346633,1.41098697371026,6.16102895419916,8.80987773064081
"3217",3.6,8000,440,1200,11,422202020,"Hubei","Rural",8440,"Inland",5,332.409972299169,1.30833281965018,5.80666985152336,9.04074943586104
"3218",5,3000,1500,1000,0,422203002,"Hubei","Rural",4500,"Inland",1,199.600798403194,1.62924053973028,5.29682023842676,8.41185489773372
"3219",9,9000,3000,2500,2,422203002,"Hubei","Rural",12000,"Inland",2,277.469478357381,2.2082744135228,5.62607127430757,9.39267026206875
"3220",8,6500,1600,2000,5,422203002,"Hubei","Rural",8100,"Inland",3,249.687890137328,2.09186406167839,5.5206121182831,8.99963168626333
"3221",7,4000,1500,1500,0,422203003,"Hubei","Rural",5500,"Inland",1,213.98002853067,1.96009478404727,5.36634991021092,8.61252155287346
"3222",6,5800,1800,2100,2,422203003,"Hubei","Rural",7600,"Inland",2,349.417637271215,1.80828877117927,5.85655402469591,8.9359166840826
"3223",5,5000,1500,2500,5,422203003,"Hubei","Rural",6500,"Inland",3,499.001996007984,1.62924053973028,6.21281047568212,8.77957284038077
"3224",5,4500,1600,1500,7,422203003,"Hubei","Rural",6100,"Inland",4,299.40119760479,1.62924053973028,5.70211841622795,8.71606044346965
"3225",13,0,0,3600,11,422203003,"Hubei","Rural",0,"Inland",5,276.710222905457,2.57261223020711,5.62333215552344,-2.30258509299405
"3226",8,6000,2500,2000,0,422203005,"Hubei","Rural",8500,"Inland",1,249.687890137328,2.09186406167839,5.5206121182831,9.04783320711509
"3227",8,8000,3200,1650,2,422203005,"Hubei","Rural",11200,"Inland",2,205.992509363296,2.09186406167839,5.32832514256488,9.32367798581475
"3228",12,12000,1450,500,5,422203005,"Hubei","Rural",13450,"Inland",3,41.6319733555371,2.4932054526027,3.73126758213952,9.50674181994658
"3229",13,25000,1500,6000,7,422203005,"Hubei","Rural",26500,"Inland",4,461.183704842429,2.57261223020711,6.13401326551416,10.1849037855521
"3230",14,6000,3000,2500,0,422203006,"Hubei","Rural",9000,"Inland",1,178.443968593862,2.64617479738412,5.18483489354194,9.10499096736774
"3231",11,9800,2400,2600,2,422203006,"Hubei","Rural",12200,"Inland",2,236.148955495005,2.40694510831829,5.46488614517891,9.40919942740907
"3232",4,2000,3000,1500,5,422203006,"Hubei","Rural",5000,"Inland",3,374.064837905237,1.41098697371026,5.92469644337797,8.51721319121624
"3233",10,18000,7000,8000,7,422203006,"Hubei","Rural",25000,"Inland",4,799.200799200799,2.31253542384721,6.68373734450736,10.1266351038423
"3234",12,2000,5000,1200,11,422203006,"Hubei","Rural",7000,"Inland",5,99.9167360532889,2.4932054526027,4.60533753251777,8.8536797136497
"3235",11,3600,2500,2400,0,422203007,"Hubei","Rural",6100,"Inland",1,217.983651226158,2.40694510831829,5.38487871040784,8.71606044346965
"3236",6,6800,1200,2400,2,422203007,"Hubei","Rural",8000,"Inland",2,399.334442595674,1.80828877117927,5.99004965310657,8.98720932058385
"3237",9,8500,2000,3200,5,422203007,"Hubei","Rural",10500,"Inland",3,355.160932297447,2.2082744135228,5.87285254003629,9.25914005990979
"3238",10,16000,2300,4200,7,422203007,"Hubei","Rural",18300,"Inland",4,419.58041958042,2.31253542384721,6.03949351588079,9.81466180329546
"3239",11,6000,4000,3000,11,422203007,"Hubei","Rural",10000,"Inland",5,272.479564032698,2.40694510831829,5.60793054958763,9.21035037192618
"3240",6,3000,1500,2000,0,422203008,"Hubei","Rural",4500,"Inland",1,332.778702163062,1.80828877117927,5.80777816585388,8.41185489773372
"3241",10,8820,800,2500,2,422203008,"Hubei","Rural",9620,"Inland",2,249.75024975025,2.31253542384721,5.52086173739047,9.17160993861612
"3242",8,8380,1600,4400,5,422203008,"Hubei","Rural",9980,"Inland",3,549.313358302122,2.09186406167839,6.30885108771237,9.20834838929539
"3243",10,15000,2400,6500,7,422203008,"Hubei","Rural",17400,"Inland",4,649.350649350649,2.31253542384721,6.47612685069982,9.76423123231254
"3244",8,6500,1500,2500,2,422203009,"Hubei","Rural",8000,"Inland",2,312.10986267166,2.09186406167839,5.74367559845891,8.98720932058385
"3245",6,10000,3000,2500,5,422203009,"Hubei","Rural",13000,"Inland",3,415.973377703827,1.80828877117927,6.03086163341773,9.47271232872178
"3246",6,9000,3000,2000,7,422203009,"Hubei","Rural",12000,"Inland",4,332.778702163062,1.80828877117927,5.80777816585388,9.39267026206875
"3247",10,4000,1500,2000,0,422203010,"Hubei","Rural",5500,"Inland",1,199.8001998002,2.31253542384721,5.2978182410066,8.61252155287346
"3248",6,5000,2000,2000,2,422203010,"Hubei","Rural",7000,"Inland",2,332.778702163062,1.80828877117927,5.80777816585388,8.8536797136497
"3249",7,6000,2000,2500,5,422203010,"Hubei","Rural",8000,"Inland",3,356.633380884451,1.96009478404727,5.87698867050506,8.98720932058385
"3250",10,18000,7000,1600,7,422203010,"Hubei","Rural",25000,"Inland",4,159.84015984016,2.31253542384721,5.07479974427901,10.1266351038423
"3251",10,3000,2000,2000,11,422203010,"Hubei","Rural",5000,"Inland",5,199.8001998002,2.31253542384721,5.2978182410066,8.51721319121624
"3252",6,5600,2000,2300,0,422203017,"Hubei","Rural",7600,"Inland",1,382.695507487521,1.80828877117927,5.94750092358392,8.9359166840826
"3253",4,4000,1000,1500,2,422203017,"Hubei","Rural",5000,"Inland",2,374.064837905237,1.41098697371026,5.92469644337797,8.51721319121624
"3254",3,6200,600,2000,7,422203017,"Hubei","Rural",6800,"Inland",4,664.451827242525,1.1314021114911,6.49911286945731,8.82469259693842
"3255",7,7800,3200,1600,2,422203018,"Hubei","Rural",11000,"Inland",2,228.245363766049,1.96009478404727,5.43085923623264,9.30565964264828
"3256",2,2000,500,500,5,422203018,"Hubei","Rural",2500,"Inland",3,248.756218905473,0.741937344729377,5.51687529557086,7.82408601005631
"3257",5,9000,1000,5000,7,422203018,"Hubei","Rural",10000,"Inland",4,998.003992015968,1.62924053973028,6.90585747129978,9.21035037192618
"3258",7,2000,1020,850,0,422203019,"Hubei","Rural",3020,"Inland",1,121.255349500713,1.96009478404727,4.79872301443718,8.01304522240349
"3259",4,2500,1200,900,2,422203019,"Hubei","Rural",3700,"Inland",2,224.438902743142,1.41098697371026,5.41404897833099,8.21611512529412
"3260",4,2000,1200,900,5,422203019,"Hubei","Rural",3200,"Inland",3,224.438902743142,1.41098697371026,5.41404897833099,8.07093733829955
"3261",8,35000,1000,4200,7,422203019,"Hubei","Rural",36000,"Inland",4,524.344569288389,2.09186406167839,6.26233973929325,10.4912769952122
"3262",10,500,1100,200,0,422203020,"Hubei","Rural",1600,"Inland",1,19.98001998002,2.31253542384721,2.99972528984395,7.37782140627483
"3263",3,2500,1100,250,2,422203020,"Hubei","Rural",3600,"Inland",2,83.0564784053156,1.1314021114911,4.42072411487472,8.18871690183618
"3264",3,4200,1200,1300,5,422203020,"Hubei","Rural",5400,"Inland",3,431.893687707641,1.1314021114911,6.06841097634949,8.59417275089942
"3265",2,1500,1400,1200,7,422203020,"Hubei","Rural",2900,"Inland",4,597.014925373134,0.741937344729377,6.39210959967855,7.97250049813867
"3266",8,5400,1600,2300,0,422203021,"Hubei","Rural",7000,"Inland",1,287.141073657928,2.09186406167839,5.6603218410778,8.8536797136497
"3267",8,5000,1500,2400,2,422203021,"Hubei","Rural",6500,"Inland",2,299.625468164794,2.09186406167839,5.70286694957363,8.77957284038077
"3268",8,7500,500,2200,5,422203021,"Hubei","Rural",8000,"Inland",3,274.656679151061,2.09186406167839,5.61588590291022,8.98720932058385
"3269",8,4000,2000,2000,7,422203021,"Hubei","Rural",6000,"Inland",4,249.687890137328,2.09186406167839,5.5206121182831,8.69953141473797
"3270",2,1600,700,300,0,422203041,"Hubei","Rural",2300,"Inland",1,149.253731343284,0.741937344729377,5.00631752823542,7.74070787923296
"3271",2,1700,1200,400,2,422203041,"Hubei","Rural",2900,"Inland",2,199.004975124378,0.741937344729377,5.29383219882615,7.97250049813867
"3272",2,500,1000,200,5,422203041,"Hubei","Rural",1500,"Inland",3,99.5024875621891,0.741937344729377,4.60118713980266,7.31328705153484
"3273",4,2000,1200,900,7,422203041,"Hubei","Rural",3200,"Inland",4,224.438902743142,1.41098697371026,5.41404897833099,8.07093733829955
"3274",4,4800,1600,1800,0,422203042,"Hubei","Rural",6400,"Inland",1,448.877805486284,1.41098697371026,6.10697345553227,8.76406889422569
"3275",14,9000,3500,4500,2,422203042,"Hubei","Rural",12500,"Inland",2,321.199143468951,2.64617479738412,5.77237260028866,9.43349192325839
"3276",9,15300,2400,4400,5,422203042,"Hubei","Rural",17700,"Inland",3,488.34628190899,2.2082744135228,6.19122950005031,9.78132556826347
"3277",9,12000,3000,3900,7,422203042,"Hubei","Rural",15000,"Inland",4,432.852386237514,2.2082744135228,6.0706277594562,9.61581214672879
"3278",9,6000,2000,3000,11,422203042,"Hubei","Rural",8000,"Inland",5,332.963374028857,2.2082744135228,5.80833278427231,8.98720932058385
"3279",10,8500,4000,3500,2,422203102,"Hubei","Rural",12500,"Inland",2,349.65034965035,2.31253542384721,5.85721961326017,9.43349192325839
"3280",7,13600,2400,3200,5,422203102,"Hubei","Rural",16000,"Inland",3,456.490727532097,1.96009478404727,6.12378742625063,9.68035025120239
"3281",9,15000,2000,5500,7,422203102,"Hubei","Rural",17000,"Inland",4,610.432852386238,2.2082744135228,6.4143321043654,9.74097450537399
"3282",10,10000,1500,800,11,422203102,"Hubei","Rural",11500,"Inland",5,79.9200799200799,2.31253542384721,4.3822776021799,9.35011100996571
"3283",2,1800,800,300,2,422203103,"Hubei","Rural",2600,"Inland",2,149.253731343284,0.741937344729377,5.00631752823542,7.86330518480841
"3284",6,8600,2000,3600,5,422203103,"Hubei","Rural",10600,"Inland",3,599.001663893511,1.80828877117927,6.39543130640786,9.26861871401792
"3285",2,3000,1200,800,7,422203103,"Hubei","Rural",4200,"Inland",4,398.009950248756,0.741937344729377,5.98672822403895,8.34286361351183
"3286",15,16000,1200,4000,5,422203121,"Hubei","Rural",17200,"Inland",3,266.489007328448,2.71469474382088,5.58570817406798,9.75267047673813
"3287",13,13000,3000,6000,7,422203121,"Hubei","Rural",16000,"Inland",4,461.183704842429,2.57261223020711,6.13401326551416,9.68035025120239
"3288",38,30000,2500,10000,11,422203121,"Hubei","Rural",32500,"Inland",5,263.088660878716,3.64021428213266,5.57287111675532,10.3889984452362
"3289",8,8000,1500,2000,0,422204001,"Hubei","Rural",9500,"Inland",1,249.687890137328,2.09186406167839,5.5206121182831,9.15905760384902
"3290",7,10000,1500,2800,2,422204001,"Hubei","Rural",11500,"Inland",2,399.429386590585,1.96009478404727,5.99028732092553,9.35011100996571
"3291",10,11000,1200,4000,5,422204001,"Hubei","Rural",12200,"Inland",3,399.6003996004,2.31253542384721,5.99071526546759,9.40919942740907
"3292",10,20000,5000,6000,7,422204001,"Hubei","Rural",25000,"Inland",4,599.400599400599,2.31253542384721,6.39609697430126,10.1266351038423
"3293",15,20000,1000,300,11,422204001,"Hubei","Rural",21000,"Inland",5,19.9866755496336,2.71469474382088,3.00005668726595,9.95228247859898
"3294",9,5000,2000,2000,0,422204004,"Hubei","Rural",7000,"Inland",1,221.975582685905,2.2082744135228,5.40301778647718,8.8536797136497
"3295",8,7000,3000,2500,2,422204004,"Hubei","Rural",10000,"Inland",2,312.10986267166,2.09186406167839,5.74367559845891,9.21035037192618
"3296",8,15000,2000,6500,5,422204004,"Hubei","Rural",17000,"Inland",3,811.485642946317,2.09186406167839,6.6989899179804,9.74097450537399
"3297",8,12000,2000,7000,7,422204004,"Hubei","Rural",14000,"Inland",4,873.907615480649,2.09186406167839,6.77308908898216,9.54681975142903
